batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
1,0,-0.956514829,0.485842053,0.313701891,0.269039693,-2.003957967,-0.104238748,2.607242228,-1.100467688,-1.043546454,0.625730887
1,0,-0.390259168,-0.171308585,-0.494751769,1.488150988,-0.907473033,-0.265992701,1.282423678,0.832533775,-2.917656611,0.837798403
1,0,-0.773338892,-0.402486343,-0.013089167,1.368772767,-0.671012602,-0.03808365,-0.751173959,0.331654887,1.065444345,0.382419574
1,0,-0.732730863,-0.537538407,-0.843937201,1.338046688,-0.220894897,-0.528653266,-1.486827713,1.712179241,0.139446319,1.518246456
1,0,1.075417308,3.658443464,-0.204781078,2.701037374,-3.376118005,2.511917745,0.868922229,2.379300304,0.989144079,-2.399618681
1,0,-1.090796789,-0.571691751,-1.147827002,0.213854887,0.906463893,-0.084717458,0.456350194,0.279453519,0.687114902,-0.260965982
2,0,1.572215871,1.102648072,-1.424616529,-1.328390903,-0.707115235,-0.538877624,2.18065868,2.405450526,0.208887462,-0.824810043
1,1,-0.990290323,0.499942503,-1.534899513,0.413203627,-0.018625048,0.260600076,-1.23721706,0.926684819,-0.611700643,0.418906833
1,1,1.756781879,1.351395343,-0.951717938,-0.205231313,-1.310834147,-0.321116962,-0.084050338,1.337474575,-1.054796137,1.620991122
1,0,-0.773407771,-0.693667971,-0.555604058,0.076554065,-0.630383806,-0.440710412,-0.356751104,0.454720635,-0.831481024,0.222198117
1,0,-0.035242704,-0.574889136,-1.433344133,-0.854358274,-0.705328664,-0.380421647,-0.1896948,0.890817781,-1.764538629,-0.021236047
1,0,-0.826000848,0.133330785,1.912232157,-0.088746238,-0.583636218,0.221746839,-2.009238789,-1.036224337,-0.49090502,-0.016042608
1,0,-0.574306234,-0.439500026,0.896832555,0.119632146,1.056453188,-0.244412131,0.154465205,-0.912712339,1.419857601,0.324762139
1,0,-0.827244606,-0.415020075,0.158641592,-1.238115473,-0.236094489,-0.222049074,-1.495170521,-0.607060376,0.118823268,0.416234341
1,0,-0.908736421,-0.179549035,0.377898528,-0.371225142,0.727181943,0.185363395,0.24361387,-0.152744777,0.603856654,-0.262564283
1,0,1.324637726,-0.487089047,-1.144457504,-0.998836964,0.67022713,-0.499696654,1.751408211,0.80163064,0.315563094,1.471271927
1,0,-0.959783302,-0.583345018,-1.119323865,-0.277117611,-0.545001073,3.801444405,0.448526541,-0.507503981,-0.327305624,1.460029287
2,0,-0.41327136,0.674006091,-0.347323834,-0.25589007,-0.474337326,-0.029756981,1.309124032,-0.894653642,0.233445169,-0.696319044
2,0,-0.614508547,0.554679831,0.575540159,-1.361598794,1.123399641,0.860645511,0.135135402,-0.729277236,0.037901698,-0.079196406
2,0,-0.794990692,0.086753757,-1.881134884,0.202369691,-0.929675572,4.905062985,-1.98046361,1.076506227,0.318365954,0.468312419
2,0,-0.446345729,0.069701055,0.905625132,0.774781497,-0.19093934,-0.396983317,0.363975153,0.585572275,-2.109799964,0.336606245
2,0,-0.829403836,-0.493453676,0.257169984,-0.72022111,-0.822865588,-0.36094992,-0.029362034,-0.728564818,0.281502244,-2.050272886
2,0,-1.08199153,-1.02380328,1.45328848,-0.278971853,-1.016084912,0.005525141,0.065291864,-0.258617269,0.250703102,-1.568500703
1,1,-0.568262811,0.485842053,-0.098368286,0.937084759,-0.508134224,-0.117772213,0.195994226,2.289632654,-1.110416713,0.65920764
1,1,-0.656473847,-0.974561775,-0.168179298,0.598051992,-0.735416093,-0.324642936,-2.255596772,0.61925293,0.294905723,1.153280465
1,1,-0.054579667,-0.830679625,-0.672329754,0.510130072,-1.557809261,-0.550208889,-0.67724785,0.669798209,0.099811917,1.401054612
1,0,0.288323278,-0.921190103,-0.2913855,-0.577356381,1.269597034,-0.155291323,0.137597032,0.325045151,1.364675654,-0.263718868
1,0,0.189806542,-0.658731566,-1.001848501,-0.418507208,-0.158092799,-0.217608044,0.88736085,0.9751043,1.016317552,0.519801378
1,0,0.304238728,-0.431852573,1.727613703,-0.14488219,1.601646738,-0.386840066,0.391365659,-1.242847166,-0.507849223,-0.523234965
1,0,0.116746392,-0.513287515,1.042044225,-0.871540257,0.939583297,-0.366140319,1.639269683,-0.733411353,-0.299568057,0.303395706
1,0,-0.710426253,-0.296589081,0.450855176,-0.657795781,2.299655863,-0.359847308,0.850714546,-1.528561685,0.744697439,-0.090782064
1,0,0.374681482,-0.483259297,0.577307322,-0.774955635,0.614265967,-0.489709245,1.128141649,-0.539394375,0.638818782,0.391314946
1,0,-0.208973898,-0.885035103,-1.269926568,-0.181280557,-0.25710345,-0.424967312,-0.293299441,1.521981628,0.320681235,0.046414418
1,0,-0.742525677,0.162463951,1.566250231,0.637971284,0.316737767,0.04553659,0.801893325,-1.058577421,-0.384106869,-0.11457448
1,0,-0.610943644,-0.101676724,1.433698867,-0.011258945,1.239703323,-0.064463463,0.211090589,-0.133497821,-0.428664893,0.349894583
1,1,0.438093816,-0.075637117,-0.396985692,-0.87935303,0.024891422,-0.540281499,0.912448479,-0.71694484,1.848692049,0.389062239
1,1,0.000648408,-0.771732748,0.664841934,-1.567769173,-0.525249322,-0.139942011,1.481430387,-1.097594068,-0.367149816,-1.118514678
1,1,0.942443022,-0.16286211,-0.922558065,-0.569895825,0.094149099,-0.478867919,0.523296503,0.149461569,-0.561744859,-1.047282815
1,0,-0.760827525,-0.571691751,0.347104766,-0.538852237,-0.798176445,-0.280113884,-0.060900752,-0.735361978,-1.901377724,0.387339095
1,0,-0.661672843,-0.580035214,0.354836428,0.780038578,-0.700382814,-0.174174161,-0.304371448,-1.017464983,-2.688580854,0.917142742
1,0,0.080575405,-0.628093554,-0.405920541,-0.449968717,-1.132779549,-0.408624411,2.077991732,0.336851244,-2.226648327,0.042842434
1,1,-0.000115325,-1.13570978,-0.25882558,-0.146505165,-1.199573118,-0.575854376,0.077526803,-0.373158147,-0.249895067,-1.98266079
1,1,0.699484855,-0.40476792,-0.551406105,-0.738431232,0.077418764,-0.181904892,0.768457189,0.261792551,1.605710364,0.288193012
1,1,2.247822063,0.719651654,-1.006280749,0.553808989,0.3179045,-0.444611717,0.106864277,1.829275768,0.451321152,0.561981371
1,1,2.082486767,1.540187135,-0.367688087,0.887134718,0.180680463,-0.602322176,-0.076148118,0.420006209,1.003317853,1.659930325
1,0,-0.228936046,0.550589021,-0.099948723,1.733370202,-2.665358848,0.150383718,2.601168272,2.758145984,-0.852926264,0.484865562
1,1,1.330059169,0.321900985,-1.120077645,0.191667949,-1.267533866,-0.525132829,0.229398163,0.008029254,-1.293608317,0.81188157
1,0,-0.550342193,-0.523731031,-0.924416011,0.297262397,-0.024792709,-0.38430494,0.214187257,1.116731481,-0.474639757,-0.690460225
1,0,-0.783553582,-0.628093554,1.374000866,0.820815027,0.378602891,0.020910367,0.485922328,-1.123537009,2.061493963,0.899575801
1,0,0.830529531,-0.772861889,-0.748090488,0.272124229,-0.665396192,-0.540515646,-0.220040597,1.609133476,-0.698757498,1.263862999
1,1,0.077734448,-0.603112823,0.994944589,-1.270076395,1.811394798,-0.355740774,0.382175168,-0.930555299,0.541852566,-0.334520721
1,1,0.41046132,-0.77270754,-0.297311007,0.077847622,-0.39118163,-0.579043337,-0.164107181,-0.314835627,0.873264764,-0.396626592
1,1,1.064056895,-0.371782408,-0.77474878,-0.772635618,-0.125707705,-0.579951736,1.23774461,0.545143964,0.811487077,0.028102603
1,0,0.721645658,-0.852153393,-0.005904289,-0.56533125,0.374830955,-0.423343996,0.934436402,-0.313577671,-1.051186474,1.077534931
1,1,0.055078899,-0.485687564,1.285794816,-1.207924351,1.327750586,-0.380611829,0.382399903,-1.091873995,0.868664662,-0.379334712
2,1,1.589371215,0.85487264,-1.238930712,0.456157423,-1.083884925,-0.200158791,0.538660813,1.001363303,-1.614682596,1.73934073
2,0,-0.760261341,-0.648558634,-1.00709518,-0.053806031,0.761960354,-0.38852223,0.510668584,0.116431304,0.353382811,1.348401024
2,1,-0.369675383,0.530123941,-0.042982047,-0.6729167,1.805911761,1.776764305,-1.351062504,-0.870948551,-0.375526016,-0.236611937
2,1,-0.39330982,0.184806779,-1.223704255,-0.188786227,-1.189320993,-0.372219044,-1.492256671,3.175058451,0.170593985,1.109206359
1,0,-0.690342037,0.162463951,0.468733937,-0.277258723,-0.345885552,0.029764627,-0.828357143,-0.926468675,-0.224569409,0.092620525
1,0,-1.12694163,0.485842053,-1.374068252,0.28736813,-2.137227021,0.300367865,-1.86761349,1.346084743,-0.129765759,0.322523505
1,0,0.155606938,0.499942503,-0.403197629,0.771510698,-0.333701207,-0.402988926,0.240296908,-0.450445199,-1.456357254,1.793576002
1,0,-0.706716308,0.499942503,-0.044227763,0.398083236,-0.422020393,-0.40196776,-0.695928717,0.177013847,0.455424116,0.74158471
1,0,-0.786318099,-0.728363427,1.252961164,0.752133156,0.026006743,0.292053051,-0.315883001,-1.485962983,0.768010847,-0.950244518
1,1,0.118343063,-0.53897804,1.033287356,-0.324512556,1.723527915,-0.275492405,0.679437737,-1.667387366,1.429277308,-0.664370488
1,1,0.910976914,-0.163980332,-0.40258486,-0.869825407,-0.102698978,-0.474647444,0.198199307,-0.040169994,-0.168101643,-1.615854626
1,1,0.805178597,0.189640224,1.58365207,-0.306300792,1.355602994,-0.448111625,-0.225814451,-0.679275726,1.14680137,0.914222644
1,1,-0.432516839,-1.076522698,-0.958681334,-1.102692659,0.648038632,-0.423140557,0.657805687,0.435989703,0.675656771,1.735976957
1,1,0.891987143,-0.208597148,0.602630744,0.048450448,0.88747085,-0.550754599,0.076491296,-0.590895218,1.29037267,0.037961841
1,0,-0.348505308,1.778383365,-1.568628549,0.809429998,0.693231943,0.239054466,-0.525155405,0.388679082,-0.138129393,1.055157133
1,0,-1.406174656,0.525009969,0.511675278,0.455517818,0.767175607,0.862055211,-2.521865624,-0.796862529,-0.51872043,0.69741577
1,0,-0.700107421,2.248398392,2.883208113,1.605688972,1.348644087,3.992776306,-1.329094781,0.065875629,1.040032247,-2.399618681
1,0,-0.117330853,0.83835332,-1.415146249,3.234586199,-4.481611737,0.045103367,1.256224474,2.193743199,-0.762529311,-0.758496161
1,0,-0.89770996,0.274335292,-1.109135887,4.935241049,-1.902608193,-0.673738044,-1.189735404,0.394247932,-1.417039246,-1.443048776
1,1,-0.987011534,-0.680976911,1.879758158,-0.713276813,0.717664019,-0.136690178,0.266868273,-1.52572467,1.330140418,-0.676792744
1,1,-0.038711935,-0.411510631,-1.192077041,-0.460552044,0.024306918,-0.192528405,0.284814742,2.057616512,-0.517156995,1.172956524
1,1,1.113431409,-0.281583416,1.140465125,0.415398587,0.162779217,-0.397815359,-0.142754161,-0.479181512,-0.506600161,-1.860347784
1,0,-0.223015581,1.778383365,-1.756797467,0.096858541,-0.284440074,-0.471366524,-2.570062369,1.460340438,0.855225105,-0.312386008
1,1,0.778197048,0.730064295,-0.627283532,0.448418223,-1.340089171,-0.487392325,0.654911335,0.23845477,-1.558814984,0.101856847
1,1,0.394640099,0.525009969,-1.474695251,-0.38431901,-0.58027088,-0.609255318,-2.205309902,0.913234639,-0.103369307,1.252398292
1,0,-0.637349413,3.658443464,-0.664177827,-0.891974202,0.682851326,0.374575941,0.299748865,0.109964358,1.611269496,0.227049274
1,0,0.449864296,1.778383365,-1.223911836,1.630930738,0.517394331,-0.152012249,-2.571551984,0.353319939,-1.415916897,0.887973265
1,0,-0.319942547,-0.574889136,-1.007769224,-0.614305676,1.534677049,-0.040308668,-0.198305204,0.349461569,-0.427490838,0.200016284
1,0,0.08259607,1.778383365,-2.062101315,0.338960491,-2.380359003,0.455176706,-0.690464997,1.822187487,-2.7998444,0.696569223
1,0,-0.262774466,0.83835332,-0.596714993,0.223741492,-0.500249899,0.926209091,-0.700124554,0.751958931,-1.180917101,-0.010543298
1,1,-0.906299895,-0.22637459,-0.526669587,-0.658253515,0.229412372,-0.140560383,0.386492111,0.064331047,-0.943631485,0.416753995
1,1,-0.075924236,-0.233203562,-0.20603843,-0.249395114,0.924826565,-0.458742465,0.502984366,-0.59981678,-0.048054429,1.505139276
1,1,-0.258548628,1.778383365,-1.938640835,0.738955261,2.042060104,0.356359412,-1.735969911,0.473581186,-1.290625075,1.362466715
1,1,-0.223604137,-0.171308585,1.852393053,0.500409739,1.322778789,-0.506941191,0.108460704,-1.489248485,1.04649825,0.193795673
1,1,-0.454312378,-0.449836006,-0.446342109,0.212996833,2.367662456,0.745041748,0.165118882,-0.260307159,0.060031695,0.415985332
1,1,-0.157275267,0.348916185,-1.181165465,0.288861873,0.986304309,1.551375841,0.968588058,0.192492719,0.681142238,0.733254347
1,1,0.473249055,-0.590622464,0.909420582,-0.603119895,1.183422994,-0.492847025,0.037301549,-0.950668023,0.349614288,-1.519933733
1,1,0.770718848,-0.158830554,0.69283882,-0.616054565,1.111941864,-0.429572961,-0.619239105,-0.533020803,0.062316647,-0.274976943
2,0,-0.524484029,-0.790943316,1.106947893,-0.429685031,0.379408395,-0.108060795,0.251920298,-0.537914136,0.818847972,-1.381100964
2,0,-0.987296396,-0.510583975,0.546793009,-0.394046626,0.042442786,-0.277214563,0.0105839,-0.822325693,0.386399552,-1.62059308
2,0,-0.738497844,-0.707262556,-0.084983596,-0.848685265,0.100931035,0.239727483,-0.526907933,-0.304620509,0.21356206,-2.206453945
2,0,-0.737128893,0.086753757,-1.591452886,0.568412209,-1.197026178,-0.641604837,-1.020757678,0.776367906,-1.201822661,0.944720099
1,0,-1.182424728,-0.646782912,0.746531739,-0.715337622,-0.806060068,0.790491169,-0.197323742,-1.30169864,-1.223356346,-1.450912118
1,0,-0.654843282,-0.449836006,1.332887567,1.395792334,-0.454779913,-0.623898942,-1.066144041,-0.843894926,-0.160895999,1.225285216
1,0,-0.70069783,-0.728363427,3.126966584,-0.433235971,0.017419943,-0.162578875,-0.061525011,-1.063970335,1.229475075,-1.616077613
1,1,-0.928058893,-0.219180483,0.578464611,0.631863709,0.141280363,0.176719901,-0.190271362,0.177259612,-0.606852445,0.66012915
1,1,-0.44261496,-0.120477328,1.088288496,-1.407756872,1.467543602,0.226919175,0.675334832,-1.703237111,1.035794292,-0.588962791
1,1,1.200387532,-0.01938453,-0.920011492,-0.779943297,0.81432964,-0.557903989,0.27616714,0.5727796,1.482585833,0.434640572
2,0,-0.815395866,-0.790262332,0.085947136,0.234665259,-0.38134868,0.079949689,0.729745436,-0.925740296,-0.195628455,-2.222021057
2,0,0.03683645,3.637978384,1.949762118,-0.616278572,1.788162279,-0.729817582,-0.445490365,-1.107690414,0.574755106,2.070475986
2,1,1.425738236,-0.17707417,-0.676330701,-0.299810893,-0.737335441,-0.582358997,-1.104502223,1.351749858,-0.527429542,0.469096315
2,1,0.897158434,-0.467004897,-0.145162994,-0.085056311,-0.214820847,-0.429160214,-0.859660679,-0.353704347,0.678011799,1.022170522
2,0,-0.756482509,0.200472053,0.297585703,0.190599736,0.586901384,-0.29149494,0.797951501,-0.641659226,0.121969981,1.099439752
2,0,-0.264830084,-0.27881348,0.384226998,-0.746535996,2.464484507,-0.027793799,0.07302778,-1.006391461,0.277291466,-0.520248973
2,0,-0.394345918,-0.548288761,0.555096911,-0.891675699,0.661716098,2.761329611,0.775282794,-0.745141039,-0.977478123,-0.932924322
2,0,-0.536054402,-0.966250418,0.390371284,0.216407435,-0.462985192,0.387988021,-0.495737862,-0.670511685,-0.377328079,-2.064314864
2,0,-0.873059758,-0.333509511,-0.910938378,-0.4754166,0.725382554,-0.127530512,-0.336907018,0.208187709,0.086137418,0.160656607
2,1,-0.575088983,-0.044453374,-0.431420504,-0.384324797,2.396061454,-0.230939081,0.675373748,0.021824954,0.191527082,-0.838033336
2,1,1.889859485,-0.618791015,-1.432275895,1.289509526,0.113269314,-0.553744377,-0.334691563,3.092227481,0.346538238,0.989792734
2,1,2.111318944,0.493853543,0.473137379,-1.457415607,0.862419522,-0.614236469,0.681160816,-0.820146652,0.451570762,0.244913204
1,0,-0.272008518,-0.246296733,-1.548583711,-0.756961381,-0.294333575,-0.4070916,-1.159168791,1.163205575,-0.4268287,1.397386261
1,0,-0.544907612,-0.327283935,-0.588460977,-0.587759939,-0.405773156,-0.31610449,0.925177232,0.246539259,0.176300787,0.785972557
2,0,-0.572261655,-0.944668099,1.331626927,-0.006406498,-0.478889054,-0.211016507,0.349905919,-1.179264375,0.645032779,-0.255954218
2,0,-0.408357896,0.253870212,0.921666376,0.298246362,-0.627320228,0.399424002,-3.388140728,-1.172062021,-0.755492144,-0.469359629
1,0,1.316963095,-0.784068905,0.162347169,0.433575261,-0.222992917,-0.475211613,-0.45528639,-0.78631761,0.235527681,0.141069029
1,1,0.09136422,-1.078426699,0.750933004,0.282904989,-0.943787583,-0.334210547,-0.238291519,-0.527864543,0.652361127,-2.204195878
2,0,0.383410779,-0.206552674,-0.151180955,-0.996787758,-0.231879067,-0.298272021,-0.321704958,1.015179812,0.634233687,-0.252952524
2,0,-0.319637269,0.253870212,-1.390597503,0.896908968,-1.790813779,8.389939037,1.983575666,2.342179324,-2.525942679,0.006009789
2,0,-0.49639968,0.81788824,2.008616996,1.909066256,-1.989376581,1.227005343,-0.992313264,0.409293078,1.074811857,-0.298920853
2,0,-1.022252179,-1.032795916,-0.621310927,-0.290281867,0.382155745,-0.065323482,-1.087009862,-0.252592677,1.01793602,-1.821425147
2,0,-1.064513222,-0.61533311,0.116178059,-0.856945183,0.267818056,-0.410708977,0.223058759,-0.64371274,0.177111524,-2.01932726
1,0,-0.28978721,-0.713530599,-0.171769343,0.001917404,0.577446227,-0.078942692,-0.782295361,-0.293666632,-0.719584254,1.075678307
1,0,-0.489914117,-0.313044431,0.122293264,-0.181365399,0.771189823,0.710692524,-0.498748096,-0.950705829,0.900605487,0.951731572
1,0,-0.471098582,-0.485362464,0.587784238,-0.670426316,0.328220516,-0.667368848,0.796098058,-0.893825602,0.562095309,1.120912022
2,0,-1.172804566,-0.422951423,-1.382521748,-0.110618906,-1.679181981,-0.171595464,-1.710611746,1.851758831,-0.555045745,0.812611974
1,0,-1.141682058,-0.310572295,0.230064606,-0.756484003,0.574011375,2.632521286,1.152071192,-0.05566305,0.551907142,0.156100689
1,0,-1.299785062,-0.680976911,0.593421205,-0.903760944,0.454330226,0.626366764,-0.006184518,-0.915809084,0.260152383,-1.214637043
1,0,-1.177342085,3.626457562,0.583464532,-1.389162535,-0.554331957,2.312532026,0.285378108,-0.251142014,-0.202608738,-1.488142686
1,0,-0.573775365,0.525009969,-0.5342476,3.114259668,0.691003835,0.537992421,-0.058048955,2.258069636,-3.971192366,0.610951122
2,0,-0.595774603,0.069701055,-0.902504038,2.145050371,-1.633281797,-0.199508313,-1.073337132,1.59898454,0.864029203,0.764556796
